研究分野,ユニット名,研究拠点,参画する技術研究組合,所在地,WebサイトURL
エネルギー・環境領域,電池技術研究部門,関西センター,"技術研究組合ＦＣ－Ｃｕｂｉｃ	技術研究組合リチウムイオン電池材料評価研究センター（LIBTEC）","〒563‑8577 大阪府池田市緑丘1‑8‑31電話：072‑751‑8528　FAX：072‑751‑8528",https://unit.aist.go.jp/riecen/
エネルギー・環境領域,省エネルギー研究部門,つくばセンター（東、中央）,"未利用熱エネルギー革新的活用技術研究組合（TherMAT）	自動車用内燃機関技術研究組合（AICE）","〒305-8564 茨城県つくば市並木1-2-1 つくば東電話：029-861-7239　FAX：029-851-7523",https://unit.aist.go.jp/ieco/
エネルギー・環境領域,安全科学研究部門,つくばセンター（西、中央、北）,"新構造材料技術研究組合（ISMA）	人工光合成化学プロセス技術研究組合（ARPChem）","〒305-8569 茨城県つくば市小野川16-1 つくば西電話：029-861-8452　FAX：029-861-8422",http://www.aist-riss.jp/main/
エネルギー・環境領域,エネルギープロセス研究部門,つくばセンター(西)、北海道センター,,"〒305－8569　茨城県つくば市小野川16－1　つくば西電話：029-861-8400　FAX：029-861-8408〒062-8517 札幌市豊平区月寒東2-17-2-1　北海道センター電話：011-857-8440　FAX：011-857-8417",https://unit.aist.go.jp/epri/
エネルギー・環境領域,環境創生研究部門,つくばセンター(西),,"〒305－8569 茨城県つくば市小野川16－1 つくば西電話：029-861-8300　FAX：029-861-8258",https://unit.aist.go.jp/env-mri/
エネルギー・環境領域,先進パワーエレクトロニクス研究センター,つくばセンター（中央、西）、関西センター,,"〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-5050　FAX：029-861-5032",https://unit.aist.go.jp/adperc/ci/
エネルギー・環境領域,再生可能エネルギー研究センター,福島再生可能エネルギー研究所、つくばセンター（中央）,,"〒963-0298 福島県郡山市待池台2-2-9電話：024-963-1805",http://www.aist.go.jp/fukushima/ja/unit/
エネルギー・環境領域,ゼロエミッション国際共同研究センター,臨海副都心センター、つくばセンター（西、中央）,,"〒135-0064　東京都江東区青海 2-3-26Eメールアドレス：gzr-info-ml*aist.go.jp（*を@に変更して使用してください。）",https://www.gzr.aist.go.jp/
生命工学領域,バイオメディカル研究部門,つくばセンター（中央）、関西センター,次世代バイオ医薬品製造技術研究組合(MAB),"〒305-8566 茨城県つくば市東1-1-1 中央第6電話：029-861-6022　　FAX：029-858-3282",https://unit.aist.go.jp/bmd/
生命工学領域,生物プロセス研究部門,北海道センター、つくばセンター（中央）,,〒062‑8517札幌市豊平区月寒東2条17‑2‑1電話：011‑857‑8537　FAX：011‑857‑8915,https://unit.aist.go.jp/bpri/
