部署名,WEBサイト,Youtubeチャンネル、再生リスト,SNSアカウントサイト
宇宙輸送技術部門,宇宙輸送技術部門サイト(http://www.rocket.jaxa.jp/),"ロケット(https://www.youtube.com/watch?v=Yr_LbEih-JY&list=PLCQJJ3lTBuyAv44874vapI8C6I8rnsKPi),ロケット打上げライブ配信(https://www.youtube.com/watch?v=Gwwxml12blE&list=PL83265841EB72003A)",
第一宇宙技術部門,"サテライトナビゲーターサイト(http://www.satnavi.jaxa.jp/),Earth-graphy(https://earth.jaxa.jp/)",人工衛星・HTV・追跡(https://www.youtube.com/watch?v=rcdV7XWGIAk&list=PLCQJJ3lTBuyByHncW17GVvcI5pMqmRs8L),"Twitter（@satellite_jaxa）(https://twitter.com/satellite_jaxa),Instagram（@gcom_jaxa）(https://www.instagram.com/gcom_jaxa/),Facebook（JAXA衛星降水観測データ）(https://www.facebook.com/JAXA-%E8%A1%9B%E6%98%9F%E9%99%8D%E6%B0%B4%E8%A6%B3%E6%B8%AC%E3%83%87%E3%83%BC%E3%82%BF-1617138705014660/)"
有人宇宙技術部門,"有人宇宙技術部門サイト(https://humans-in-space.jaxa.jp/),きぼう利用ネットワークサイト(https://humans-in-space.jaxa.jp/kibouser/community/)","有人宇宙活動(https://www.youtube.com/watch?v=O6MXOC-UWko&list=PLCQJJ3lTBuyBln-o-82_8NY4d7ep1DvQ7),若田宇宙飛行士(https://www.youtube.com/watch?v=Le-WY8KWLmg&list=PLCQJJ3lTBuyCgmbJ7MWDT442Yq-AlOnuW),油井宇宙飛行士(https://www.youtube.com/watch?v=PDOgL0DTBYc&list=PLCQJJ3lTBuyDqP0KJkPp90GsMfaccpw2r),大西宇宙飛行士(https://www.youtube.com/watch?v=YPHr6074tjw&list=PLCQJJ3lTBuyDIXNDyD94EAQK8a3zPiBEr),金井宇宙飛行士(https://www.youtube.com/watch?v=wmsShae5o5o&list=PLCQJJ3lTBuyDVPNcQ_SV0XdnOJwsSA6NS),野口宇宙飛行士(https://www.youtube.com/watch?v=8oRNkMBJqYs&list=PLCQJJ3lTBuyAa_jJxYgHUM-i8jmk-5Dsj),宇宙食(https://www.youtube.com/watch?v=0P1BmaIg7Dc&list=PLCQJJ3lTBuyBLVLJGXtsq_AWORgwFTEpA),SoiciNoguchi（野口宇宙飛行士YouTubeチャンネル）(https://www.youtube.com/user/astrosoichi)","Twitter（@HTVX_JAXA）(https://twitter.com/HTVX_JAXA),Twitter（@JAXA_JFLIGHT）(https://twitter.com/JAXA_JFLIGHT),Twitter（@JAXA_Kiboriyo）(https://twitter.com/JAXA_Kiboriyo),Twitter（@Astro_Wakata）(https://twitter.com/Astro_Wakata),Twitter（@Astro_Kimiya）(https://twitter.com/Astro_Kimiya),Twitter（@Aki_Hoshide）(https://twitter.com/Aki_Hoshide),Twitter（@Astro_Soichi）(https://twitter.com/Astro_Soichi),Twitter（@Astro_Satoshi）(https://twitter.com/Astro_Satoshi),Twitter（@Astro_Kanai）(https://twitter.com/Astro_Kanai),Instagram（@JAXA_Kibo）(https://www.instagram.com/jaxa_kibo/),Instagram（@astro.soichi）(https://www.instagram.com/astro.soichi/)"
研究開発部門,研究開発部門サイト(http://www.kenkai.jaxa.jp/),研究開発(https://www.youtube.com/watch?v=hI5XvH-J1Rw&list=PLCQJJ3lTBuyCVil1W5uyN6075XJEEJGEF),Twitter（@KAKUSHIN_JAXA）(https://twitter.com/KAKUSHIN_JAXA)
宇宙科学研究所（ISAS),宇宙科学研究所（ISAS）サイト(http://www.isas.jaxa.jp/),"宇宙探査・宇宙科学の研究(https://www.youtube.com/watch?v=O6MXOC-UWko&list=PLCQJJ3lTBuyBfoORJP_wE7cCcdr4EVCRw),相模原チャンネル（jaxasgm）(https://www.youtube.com/channel/UCj5JPsqumxa9LGUP4gbV1Dg)","Twitter（@ISAS_JAXA）(https://twitter.com/ISAS_JAXA),Twitter（@Tenzi_isas）(https://twitter.com/Tenzi_isas1),Instagram（@isas_jaxa）(https://www.instagram.com/isas_jaxa/)"
航空技術部門,航空技術部門サイト(http://www.aero.jaxa.jp/),航空技術の研究(https://www.youtube.com/watch?v=qLtHSE4XDZI&list=PLCQJJ3lTBuyDjJbmxn8GdZxfOJAKlZOie),"Twitter（@JAXA_aero）(https://twitter.com/jaxa_aero),Facebook（@JAXA_aero）(https://www.facebook.com/jaxa.aero/)"
宇宙探査イノベーションハブ,宇宙探査イノベーションハブサイト(https://www.ihub-tansa.jaxa.jp/),"みんなで一歩！宇宙探査へ(https://www.youtube.com/watch?v=EAJ6H5UuoLc&list=PLCQJJ3lTBuyBfoORJP_wE7cCcdr4EVCRw&index=12),宇宙探査イノベーションハブとリコーTHETAによる360°全天球静止画・動画を公開(https://www.youtube.com/watch?v=aDdUD43k-Hk)",Twitter（@JAXA_TansaX）(https://twitter.com/JAXA_TansaX)
国際宇宙探査センター,国際宇宙探査センターサイト(https://www.exploration.jaxa.jp/),"国際宇宙探査(https://www.youtube.com/watch?v=62eHbPtFUBA&list=PLCQJJ3lTBuyAd6RFkSsgqdHmfgXlvGcgT),国際宇宙探査協働グループ（ISECG）公開パネルライブ配信(https://www.youtube.com/watch?v=nNqkeZ82DJE&list=PLCQJJ3lTBuyBfoORJP_wE7cCcdr4EVCRw&index=19)",Twitter（@jsec_jaxa_jp）(https://twitter.com/jsec_jaxa_jp)
追跡ネットワーク技術センター,追跡ネットワーク技術センターサイト(http://track.sfo.jaxa.jp/),"追跡ネットワーク技術センター(https://www.youtube.com/watch?v=CsQX1aaXpP0&list=PLCQJJ3lTBuyByHncW17GVvcI5pMqmRs8L&index=17),美笹深宇宙探査用地上局（GREAT）太陽系のさらなる探求へ(https://www.youtube.com/watch?v=Q-lP8pjRRnM&list=PLCQJJ3lTBuyBfoORJP_wE7cCcdr4EVCRw&index=36)",Twitter（@TSUISEKI_JAXA）(https://twitter.com/TSUISEKI_JAXA)
広報部,JAXA｜宇宙航空研究開発機構(https://www.jaxa.jp/),広報(https://www.youtube.com/watch?v=2FbG16sLy8o&list=PLCQJJ3lTBuyBirrP8Ko_3UfAhtf9Enb7-),"Twitter（@JAXA_jp）(https://twitter.com/JAXA_jp),Twitter（@JAXA_en）(https://twitter.com/JAXA_en),Instagram（@jaxa.jp）(https://www.instagram.com/jaxajp/),Facebook（@jaxa.jp）(https://www.facebook.com/jaxa.jp),Facebook（@jaxa.en）(https://ja-jp.facebook.com/jaxa.en)"
調査国際部,調査国際部サイト(http://stage.tksc.jaxa.jp/recruit/jaxa/dept08-02.html),,
新事業促進部,新事業促進部サイト(https://aerospacebiz.jaxa.jp/),"J-SPARCプログラム(https://www.youtube.com/watch?v=Lnhp_JISEiQ&list=PLCQJJ3lTBuyBnQmv7AIYp3qjXghDg1Jfn),共創プロジェクト(https://www.youtube.com/watch?v=1onjUbj4rzY&list=PLCQJJ3lTBuyBauckPmqAfHlrkuwlw-R5s),共創イベント・ワークショップ(https://www.youtube.com/watch?v=btSvgh9WtYE&list=PLCQJJ3lTBuyCgTjVOnL3NmxnKVCP1uumQ),スペースキャリアフォーラム(https://www.youtube.com/watch?v=knUns2-8Ifw&list=PLCQJJ3lTBuyALIrlhyVfUIqgPJNWqULGD),その他(https://www.youtube.com/watch?v=yxe6P4lv8jw&list=PLCQJJ3lTBuyC0bMMuCYPr-AoBJMLfu3g0)","Twitter（@jaxabiz）(https://twitter.com/jaxabiz),Facebook（@jaxabiz）(https://www.facebook.com/jaxabiz/)"
安全・信頼性推進部＊施設部,安全・信頼性推進部＊施設部サイト(http://sma.jaxa.jp/),,
環境試験技術ユニット,環境試験技術ユニットサイト(http://shiken.jaxa.jp/),,
