事業成果,年度,分野,url,研究者
研究開発,2021年度,天然多糖類からつくるバイオプラスチック,https://www.jst.go.jp/seika/bt2021-06.html,"岩田 忠久（東京大学 大学院農学生命科学研究科 教授）"
研究開発,2021年度,加湿不要で水素イオンを高速伝導する「配位高分子ガラス」,https://www.jst.go.jp/seika/bt2021-09.html,"株式会社デンソー ／北川 進（京都大学高等研究院 物質－細胞統合システム拠点（アイセムス）特別教授）堀毛 悟史（京都大学高等研究院 物質－細胞統合システム拠点（アイセムス）准教授）"
研究開発,2020年度,画期的なアンモニア合成法,https://www.jst.go.jp/seika/bt2020-04.html,"西林 仁昭（東京大学 大学院工学系研究科 教授）"
研究開発,2020年度,タイの治水・利水政策に貢献,https://www.jst.go.jp/seika/bt2020-08.html,"沖 大幹（東京大学 生産技術研究所 教授）"
研究開発,2019年度,自己修復するセラミックス,https://www.jst.go.jp/seika/bt2019-03.html,"中尾 航（横浜国立大学 大学院工学研究院 教授）"
研究開発,2019年度,乗用車用エンジンの熱効率50%超を達成,https://www.jst.go.jp/seika/bt2019-04.html,"飯田 訓正（慶應義塾大学 大学院理工学研究科 特任教授）
石山 拓二（京都大学 大学院エネルギー科学研究科 教授）
金子 成彦（東京大学 大学院工学系研究科 教授）
大聖 泰弘（早稲田大学 研究院次世代自動車研究機構 特任研究教授）
"
研究開発,2019年度,アンモニアを燃やして発電,https://www.jst.go.jp/seika/bt111-112.html,"小林 秀昭（東北大学 流体科学研究所 教授）"
研究開発,2019年度,導電率が高い硫化物系電解質と大容量電極材料,https://www.jst.go.jp/seika/bt2019-09.html,"辰巳砂 昌弘（大阪府立大学 学長）"
研究開発,2019年度,塗るだけで太陽電池！,https://www.jst.go.jp/seika/bt9-10.html,"中村 栄一（東京大学 総長室総括プロジェクト機構 兼 大学院理学系研究科 特任教授）"
研究開発,2018年度,多用途の生分解プラスチックの実用化に目途,https://www.jst.go.jp/seika/bt2018-09.html,"株式会社カネカ／土肥 義治（公益財団法人高輝度光科学研究センター　理事長）"
研究開発,2017年度,画期的なリチウム空気電池用電極材料の開発,https://www.jst.go.jp/seika/bt105-106.html,"陳 明偉（東北大学原子分子材料科学高等研究機構教授）"
研究開発,2017年度,ペロブスカイト型太陽電池の開発,https://www.jst.go.jp/seika/bt107-108.html,"宮坂 力（桐蔭横浜大学 大学院工学研究科 教授）"
研究開発,2017年度,融合研究により広がる酵素利用,https://www.jst.go.jp/seika/bt113-114.html,"浅野 泰久（富山県立大学 工学部・生物工学研究センター 教授）"
研究開発,2017年度,絶縁体に光を照射してスピン流を生成,https://www.jst.go.jp/seika/bt5-6.html,"内田 健一（国立研究開発法人物質・材料研究機構 磁性・スピントロニクス材料研究拠点 スピンエネルギーグループ　グループリーダー）（写真左）
齊藤 英治（東北大学原子分子材料科学高等研究機構／金属材料研究所 教授）（写真右）
"
研究開発,2016年度,光合成最大の謎を解明,https://www.jst.go.jp/seika/bt3-4.html,"沈 建仁（岡山大学 大学院自然科学研究科 教授）"
研究開発,2016年度,常温・常圧下で水素を活性化,https://www.jst.go.jp/seika/bt7-8.html,"
								小(お)
								江(ごう) 誠司（九州大学 カーボンニュートラル・エネルギー国際研究所／大学院工学研究院 教授）"
研究開発,2016年度,PM2.5の実態解明に貢献！,https://www.jst.go.jp/seika/bt11-12.html,"竹川 暢之（首都大学東京 大学院理工学研究科 分子物質化学専攻 教授）"
研究開発,2016年度,送電ロスをゼロにする超電導線材,https://www.jst.go.jp/seika/bt13-14.html,"住友電気工業株式会社／故 笛木 和雄（東京大学 名誉教授）／故 北澤 宏一（東京大学 名誉教授）／故 前田 弘故 北澤 宏一（東京大学 名誉教授）／
								故 前田 弘
故 北澤 宏一（東京大学 名誉教授）
"
研究開発,2016年度,紙すき技術応用の排ガス浄化装置,https://www.jst.go.jp/seika/bt15-16.html,"株式会社エフ・シー・シー／北岡 卓也（九州大学大学院農学研究院 教授）"
研究開発,2016年度,樹木精油で空気浄化を実現,https://www.jst.go.jp/seika/bt17-18.html,"日本かおり研究所株式会社／大平 辰朗（国立研究開発法人森林総合研究所 樹木抽出成分研究室長）"
研究開発,2021年度,オートファジーを制御する重要な仕組みを解明,https://www.jst.go.jp/seika/bt2021-03.html,"野田 展生（微生物化学研究所 部長）"
研究開発,2021年度,新型コロナウイルス感染症の進行に関連する遺伝子を発見,https://www.jst.go.jp/seika/bt2021-04.html,"佐藤 佳（東京大学医科学研究所 附属感染症国際研究センター システムウイルス学分野 准教授）"
研究開発,2021年度,世界初のサイコロステーキ状培養肉,https://www.jst.go.jp/seika/bt2021-05.html,"竹内 昌治（東京大学 生産技術研究所 教授）"
研究開発,2020年度,クライオ電子顕微鏡による新手法を開発,https://www.jst.go.jp/seika/bt2020-06.html,"日本電子株式会社／藤吉 好則（東京医科歯科大学 特別栄誉教授）"
研究開発,2020年度,病気の予防に焦点を絞った医療を確立,https://www.jst.go.jp/seika/bt2020-07.html,"工藤 寿彦（プロジェクトリーダー/マルマンコンピュータサービス株式会社 常務取締役）
中路 重之（研究リーダー/弘前大学 特任教授）
"
研究開発,2019年度,人間と調和する有機デバイス,https://www.jst.go.jp/seika/bt119-120.html,"染谷 隆夫（東京大学大学院工学系研究科電気系工学専攻 教授）"
研究開発,2019年度,農作物のストレス耐性を高める,https://www.jst.go.jp/seika/bt2019-08.html,"関 原明（理化学研究所 環境資源科学研究センター チームリーダー）"
研究開発,2018年度,記憶のメカニズムに迫る！,https://www.jst.go.jp/seika/bt2018-01.html,"井ノ口 馨（富山大学　大学院医学薬学研究部　教授）"
研究開発,2018年度,DNAを切る「はさみ」の構造を解明,https://www.jst.go.jp/seika/bt2018-06.html,"西増 弘志（東京大学　大学院理学系研究科　助教）"
研究開発,2017年度,魚類の画期的な調査法を開発,https://www.jst.go.jp/seika/bt115-116.html,"近藤 倫生（龍谷大学 教授）"
研究開発,2017年度,光で神経幹細胞をコントロール,https://www.jst.go.jp/seika/bt117-118.html,"影山 龍一郎（京都大学ウイルス・再生医科学研究所）"
研究開発,2017年度,次の医療を担う遺伝子の運び屋を開発,https://www.jst.go.jp/seika/bt121-122.html,"中西 真人（産業技術総合研究所・創薬基盤研究部門・ヒト細胞医工学研究ラボ長）"
研究開発,2017年度,iPS細胞を樹立,https://www.jst.go.jp/seika/bt19-20.html,"山中 伸弥（京都大学 iPS細胞研究所 所長/教授）"
研究開発,2017年度,iPS細胞を用いた臨床手術に成功！,https://www.jst.go.jp/seika/bt21-22.html,"髙橋 政代（理化学研究所 生命機能科学研究センター 網膜再生医療研究開発プロジェクト プロジェクトリーダー）"
研究開発,2017年度,iPS細胞でヒト臓器をつくる,https://www.jst.go.jp/seika/bt23-24.html,"谷口 英樹（横浜市立大学 大学院医学研究科 教授）"
研究開発,2017年度,奇跡の細胞シート,https://www.jst.go.jp/seika/bt25-26.html,"岡野 光夫（東京女子医科大学 先端生命医科学研究所 名誉教授・特任教授）"
研究開発,2017年度,オートファジーに魅せられて,https://www.jst.go.jp/seika/bt27-28.html,"水島 昇（東京大学 大学院医学系研究科 教授）"
研究開発,2017年度,自然免疫の役割を発見,https://www.jst.go.jp/seika/bt29-30.html,"
								審(あき)
								良(ら) 静男（大阪大学 免疫学フロンティア研究センター 拠点長）"
研究開発,2017年度,植物細胞をリアルタイムで観察,https://www.jst.go.jp/seika/bt33-34.html,"東山 哲也（名古屋大学トランスフォーマティブ生命分子研究所　副拠点長／教授）"
研究開発,2017年度,乳がん手術の取り残し改善に光,https://www.jst.go.jp/seika/bt35-36.html,"浦野 泰照（東京大学大学院薬学系研究科・医学系研究科教授）"
研究開発,2017年度,患部を直接治療するナノカプセル,https://www.jst.go.jp/seika/bt39-40.html,"片岡 一則（公益財団法人川崎市産業振興財団 ナノ医療イノベーションセンター センター長／東京大学 政策ビジョン研究センター 特任教授）"
研究開発,2017年度,スポンジ状人工骨開発に成功,https://www.jst.go.jp/seika/bt41-42.html,"HOYA Technosurgical株式会社／田中順三（東京工業大学 名誉教授）"
研究開発,2017年度,人体にやさしいMPCポリマー,https://www.jst.go.jp/seika/bt43-44.html,"中林 宣男（東京医科歯科大学 名誉教授）／石原 一彦（東京大学 教授）／日油株式会社
中村 耕三（東京大学 名誉教授）／石原 一彦（東京大学 教授）／京セラメディカル株式会社（日本メディカルマテリアル株式会社：当時）
"
研究開発,2016年度,マウスを丸ごと透明化,https://www.jst.go.jp/seika/bt31-32.html,"上田 泰己（東京大学 医学系研究科 教授/理化学研究所　生命システム研究センター　グループディレクター）"
研究開発,2016年度,分子標的療法で実現,https://www.jst.go.jp/seika/bt37-38.html,"間野 博行（東京大学 大学院医学系研究科 細胞情報学分野 教授）"
研究開発,2016年度,イメージング質量顕微鏡,https://www.jst.go.jp/seika/bt45-46.html,"瀬藤 光利（浜松医科大学 解剖学講座 細胞生物学分野 教授）
小河 潔（株式会社島津製作所 基盤技術研究所 先進技術開発室長）
"
研究開発,2021年度,原子レベルで混ざり合う「固溶ナノ合金」の量産化に成功,https://www.jst.go.jp/seika/bt2021-01.html,"北川 宏（京都大学 大学院理学研究科 教授）"
研究開発,2021年度,エネルギー損失を最小化する磁性薄帯の量産製造装置を開発,https://www.jst.go.jp/seika/bt2021-10.html,"株式会社東北マグネットインスティテュート ／ 牧野 彰宏（東北大学 未来科学技術共同研究センター 教授）"
研究開発,2020年度,革新的な有機EL材料とデバイス群,https://www.jst.go.jp/seika/bt2020-01.html,"安達 千波矢 （九州大学 最先端有機光エレクトロニクス研究センター・センター長 ／ 教授）"
研究開発,2020年度,「亀裂」と「光」で実現する超高精細印刷,https://www.jst.go.jp/seika/bt2020-02.html,"シバニア・イーサン（京都大学 高等研究院 物質－細胞統合システム拠点（アイセムス） 教授）"
研究開発,2020年度,世界最高速の光データ伝送を果たした「ポリマー光変調器」,https://www.jst.go.jp/seika/bt2020-03.html,"横山 士吉（研究分担者（2015-2018）/九州大学先導物質化学研究所 教授）
杉原 興浩（プロジェクトマネージャー（研究リーダー）/宇都宮大学大学院工学研究科 教授）
"
研究開発,2020年度,強くて軽く安価な「マグネシウム合金」,https://www.jst.go.jp/seika/bt2020-09.html,"鎌土 重晴（長岡技術科学大学 理事・副学長／技学研究院 教授）"
研究開発,2019年度,洗濯やアイロンがけもできる有機太陽電池,https://www.jst.go.jp/seika/bt2019-01.html,"福田 憲二郎（理化学研究所 染谷薄膜素子研究室 専任研究員）"
研究開発,2019年度,銅系超弾性合金で外反母趾を矯正,https://www.jst.go.jp/seika/bt2019-10.html,"石川 浩司（株式会社古河テクノマテリアル 常務取締役）／貝沼 亮介（東北大学大学院 教授）／羽鳥 正仁（東北公済病院 副院長）"
研究開発,2019年度,テラヘルツ光源を開拓する,https://www.jst.go.jp/seika/bt127-128.html,"淺田 雅洋（東京工業大学 教授）"
研究開発,2018年度,世界初！カーボンナノベルトの合成に成功,https://www.jst.go.jp/seika/bt2018-02.html,"伊丹 健一郎（名古屋大学大学院　理学研究科　教授 /トランスフォーマティブ生命分子研究所　拠点長）"
研究開発,2018年度,アンモニア合成法の新たな展開,https://www.jst.go.jp/seika/bt2018-07.html,"細野 秀雄（東京工業大学 科学技術創成研究院 フロンティア材料研究所 教授／元素戦略研究センター長）"
研究開発,2017年度,透明なスクリーン用フィルムを開発,https://www.jst.go.jp/seika/bt125-126.html,"戸木田 雅利（東京工業大学 物質理工学院 応用化学系 准教授）"
研究開発,2017年度,量子ドットレーザーを実用化,https://www.jst.go.jp/seika/bt123-124.html,"荒川 泰彦（東京大学 ナノ量子情報エレクトロニクス研究機構 特任教授）"
研究開発,2017年度,眼鏡フレームの新しい溶接技術,https://www.jst.go.jp/seika/bt129-130.html,"プロジェクトリーダー所属機関：株式会社シャルマン／研究者：片山 聖二（大阪大学）"
研究開発,2017年度,青色発光ダイオード実用化を成功,https://www.jst.go.jp/seika/bt47-48.html,"中村 修二（カリフォルニア大学サンタバーバラ校 教授）"
研究開発,2017年度,ディスプレイ革命,https://www.jst.go.jp/seika/bt49-50.html,"細野 秀雄（東京工業大学 科学技術創成研究院 フロンティア材料研究所 教授／元素戦略研究センター長）"
研究開発,2017年度,マルチフェロイックス研究,https://www.jst.go.jp/seika/bt53-54.html,"十倉 好紀（東京大学 大学院工学系研究科 教授）"
研究開発,2017年度,光格子時計が時計の概念を変える,https://www.jst.go.jp/seika/bt57-58.html,"香取 秀俊（東京大学 教授／理化学研究所 主任研究員）"
研究開発,2017年度,結晶スポンジが100年問題を解決！,https://www.jst.go.jp/seika/bt59-60.html,"藤田 誠（東京大学 大学院工学系研究科 教授）"
研究開発,2017年度,高品質グラファイトシート,https://www.jst.go.jp/seika/bt63-64.html,"吉村 進（長崎総合科学大学 名誉教授）"
研究開発,2017年度,画期的な高機能色彩材料を実用化,https://www.jst.go.jp/seika/bt65-66.html,"大日精化工業株式会社 ／ 後藤 淳（シンガポール Nanyang Technological University 准教授）"
研究開発,2016年度,鉄系超伝導ブームを巻き起こす！,https://www.jst.go.jp/seika/bt51-52.html,"細野 秀雄（東京工業大学 科学技術創成研究院 フロンティア材料研究所 教授／元素戦略研究センター長）"
研究開発,2016年度,トンネル磁気抵抗（TMR）,https://www.jst.go.jp/seika/bt55-56.html,"湯浅 新治（産業技術総合研究所ナノスピントロニクス研究センター 研究センター長）"
研究開発,2016年度,多孔性配位高分子（PCP）の開発,https://www.jst.go.jp/seika/bt61-62.html,"北川 進（京都大学 物質–細胞統合システム拠点 拠点長・高等研究院 特別教授）"
研究開発,2016年度,残留農薬分析や臨床検査に活用,https://www.jst.go.jp/seika/bt67-68.html,"馬場 健史（九州大学 生体防御医学研究所 教授）"
