名前,個人URL,ORCID,所属、役職,所属、役職URL,住所,アクセス方法,研究キーワード
"相澤 俊 (AIZAWA, Takashi) ",https://samurai.nims.go.jp//profiles/aizawa_takashi,https://orcid.org/0000-0003-2357-5336,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,熱エネルギー変換材料グループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2d0,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ホウ化物,炭化物,表面"
"相見 順子 (AIMI, Junko) ",https://samurai.nims.go.jp//profiles/aimi_junko,https://orcid.org/0000-0003-1339-0581,"機能性材料研究拠点,ポリマー・バイオ分野,分子メカトロニクスグループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpa00,https://samurai.nims.go.jp//profiles?unit=rpaa0,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"青野 正和 (AONO, Masakazu) ",https://samurai.nims.go.jp//profiles/aono_masakazu,https://orcid.org/0000-0002-4058-8967,"国際ナノアーキテクトニクス研究拠点(MANA),エグゼクティブアドバイザー,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?employee_position=P8330","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"薄膜・表面界面物性 電子デバイス・電子機器 無機材料・物性"
"浅野 稔久 (ASANO, Toshihisa) ",https://samurai.nims.go.jp//profiles/asano_toshihisa,https://orcid.org/0000-0003-0110-4680,"機能性材料研究拠点,電気・電子機能分野,低温超伝導線材グループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb60,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"強磁場,ハイブリッドマグネット,ビッター盤"
"アサム ナガルシュナ (ASAM, Nagarjuna) ",https://samurai.nims.go.jp//profiles/asam_nagarjuna,https://orcid.org/0000-0002-1764-8095,"磁性・スピントロニクス材料研究拠点,磁性材料グループ,NIMSポスドク研究員,","https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs210,https://samurai.nims.go.jp//profiles?employee_position=P7600","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"アショク クリシュナスワミ スリニティ (ASHOK KRISHNASWAMY, Srinithi) ",https://samurai.nims.go.jp//profiles/aksrinithi,https://orcid.org/0000-0001-6209-3837,"磁性・スピントロニクス材料研究拠点,NIMSジュニア研究員,磁性・スピントロニクス材料研究拠点,研修生,","https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?employee_position=P8000,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?employee_position=P9300","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"東 翔太 (AZUMA, Shota) ",https://samurai.nims.go.jp//profiles/azuma_shota,https://orcid.org/0000-0003-1209-3075,"機能性材料研究拠点,光機能分野,微粒子工学グループ,外来研究者,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc70,https://samurai.nims.go.jp//profiles?employee_position=P8700","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"セラミックス; コロイドプロセス; 高次構造制御; 電気泳動堆積"
"安達 裕 (ADACHI, Yutaka) ",https://samurai.nims.go.jp//profiles/adachi_yutaka,https://orcid.org/0000-0003-2666-5521,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"酸化亜鉛,圧電体,強誘電体"
"姉帯 勇人 (ANETAI, Hayato) ",https://samurai.nims.go.jp//profiles/anetai_hayato,https://orcid.org/0000-0001-7469-8489,"グローバル中核部門,若手国際研究センター,ＩＣＹＳ－ＳＥＮＧＥＮ,ICYS-Sengen研究員,","https://samurai.nims.go.jp//profiles?unit=gi000,https://samurai.nims.go.jp//profiles?unit=gi100,https://samurai.nims.go.jp//profiles?unit=gi110,https://samurai.nims.go.jp//profiles?employee_position=L1140","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"アフシャン ベガム アフシャン ベガム (AFSHAN BEGUM, Afshan Begum) ",https://samurai.nims.go.jp//profiles/afshan_begum,https://orcid.org/0000-0002-2384-3719,"エネルギー・環境材料研究拠点,液体水素材料研究センター,水素材料制御グループ,NIMSジュニア研究員,エネルギー・環境材料研究拠点,液体水素材料研究センター,水素材料制御グループ,研修生,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq500,https://samurai.nims.go.jp//profiles?unit=rq530,https://samurai.nims.go.jp//profiles?employee_position=P8000,https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq500,https://samurai.nims.go.jp//profiles?unit=rq530,https://samurai.nims.go.jp//profiles?employee_position=P9300","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"Topological Photonics, Photonic Crystals, Optical waveguides, Silicon & GaAs material, FEM computation"
