体系,部門,部署,url
情報統合本部,情報統合本部,基盤研究開発部門,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/index.html
情報統合本部,情報統合本部,データ知識化開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/data_knowl_org/index.html
情報統合本部,情報統合本部,データ管理システム開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/data_mange_sys/index.html
情報統合本部,情報統合本部,生命科学データ共有開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/life_sci_data_share/index.html
情報統合本部,情報統合本部,医科学データ共有開発ユニット,https://www.riken.jp
情報統合本部,情報統合本部,先端データサイエンスプロジェクト,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/index.html
情報統合本部,情報統合本部,開放系情報科学チーム,https://www.riken.jp
情報統合本部,情報統合本部,医療データ数理推論チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/med_data_math_res/index.html
情報統合本部,情報統合本部,医療データ深層学習チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/med_data_deep_learn/index.html
情報統合本部,情報統合本部,開放系総合信頼性チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/open_sys_dependable/index.html
情報統合本部,情報統合本部,データサイエンスデザインチーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/data_sci_des/index.html
情報統合本部,情報統合本部,ガーディアンロボットプロジェクト,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/index.html
情報統合本部,情報統合本部,知識獲得・対話研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/knowl_acqui_dialogue/index.html
情報統合本部,情報統合本部,心理プロセス研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/psych_process/index.html
情報統合本部,情報統合本部,インタラクティブロボット研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/interact_robo/index.html
情報統合本部,情報統合本部,感覚データ認識研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/multimodal_data_recognition/index.html
情報統合本部,情報統合本部,人間機械協調研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/man_machine_collab/index.html
情報統合本部,情報統合本部,動作学習研究チーム,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/behav_learn/index.html
科技ハブ産連本部,科技ハブ産連本部,創薬・医療技術基盤プログラム,https://www.riken.jp/research/labs/dmp/
科技ハブ産連本部,科技ハブ産連本部,予防医療・診断技術開発プログラム,https://www.riken.jp/research/labs/pmi/
科技ハブ産連本部,科技ハブ産連本部,バトンゾーン研究推進プログラム,https://www.riken.jp/research/labs/bzp/
科技ハブ産連本部,科技ハブ産連本部,理研産業共創プログラム,https://www.riken.jp/research/labs/icop/
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬ケミカルバンク基盤ユニット(CSRS),https://www.riken.jp/research/labs/dmp/chem_bank/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬シード化合物探索基盤ユニット(CSRS),https://www.riken.jp/research/labs/dmp/seed_compds/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬先端計算科学基盤ユニット(BDR),https://www.riken.jp/research/labs/dmp/drug_discov_mol_sim/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬抗体基盤ユニット(IMS),https://www.riken.jp/research/labs/dmp/drug_discov_antibody/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬タンパク質解析基盤ユニット(BDR),https://www.riken.jp/research/labs/dmp/drug_discov_struct_biol/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬分子設計基盤ユニット(BDR),https://www.riken.jp
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬化学基盤ユニット(CSRS),https://www.riken.jp/research/labs/dmp/drug_discov_chem/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬iPS細胞研究基盤ユニット(BRC),https://www.riken.jp/research/labs/dmp/ips_drug_discov/index.html
創薬・医療技術基盤プログラム,創薬・医療技術基盤プログラム,創薬インテリジェンス連携基盤ユニット(MIH),https://www.riken.jp
予防医療・診断技術開発プログラム,予防医療・診断技術開発プログラム,予防医療迅速診断システム開発ユニット(IMS),https://www.riken.jp/research/labs/pmi/nuc_acid_diagn_sys/index.html
予防医療・診断技術開発プログラム,予防医療・診断技術開発プログラム,"予防医療・ゲノミクス応用開発ユニット (IMS)",https://www.riken.jp/research/labs/pmi/prev_med_app_genom/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,ガラス成形・光学シミュレーション研究チーム,https://www.riken.jp/research/labs/bzp/glass_mold_opt_sim/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,糖鎖ターゲティング研究チーム,https://www.riken.jp/research/labs/bzp/glycotarg/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,ボクセル情報処理システム研究チーム,https://www.riken.jp/research/labs/bzp/voxel_eng/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,中赤外レーザー光源研究開発チーム,https://www.riken.jp/research/labs/bzp/midinfrared_laser_src/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,微細藻類生産制御技術研究チーム,https://www.riken.jp/research/labs/bzp/microalgae_prod_ctrl_tech/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,水素エネルギーストレージ技術研究チーム,https://www.riken.jp/research/labs/bzp/hydrogen_ener_stge/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,人工ワクチン研究チーム,https://www.riken.jp/research/labs/bzp/vaccine_innov/index.html
バトンゾーン研究推進プログラム,バトンゾーン研究推進プログラム,衛星姿勢軌道制御用レーザー開発研究チーム,https://www.riken.jp/research/labs/bzp/sat_orbit_st_ctrl_laser/index.html
