名前,個人ページURL,研究系,教授職,役職,学位,専門分野,研究室Web
"相澤 彰子",https://www.nii.ac.jp/faculty/digital_content/aizawa_akiko/,コンテンツ科学研究系,教授,副所長,1990年、工学博士（東京大学）,テキスト・言語メディア,http://www-al.nii.ac.jp/ja/
"合田 憲人",https://www.nii.ac.jp/faculty/architecture/aida_kento/,アーキテクチャ科学研究系,教授,,博士（工学）,計算機アーキテクチャ,
"相原 健郎",https://www.nii.ac.jp/faculty/digital_content/aihara_kenro/,コンテンツ科学研究系,准教授,,博士（工学）,人間・知識メディア,
"青木 俊介",https://www.nii.ac.jp/faculty/architecture/aoki_shunsuke/,アーキテクチャ科学研究系,助教,,Ph.D.,,
"安達 淳",https://www.nii.ac.jp/faculty/deputy-director/adachi_jun/,,特任教授,副所長,1981年　工学博士（東京大学）,テキスト・言語メディア,
"阿部 俊二",https://www.nii.ac.jp/faculty/architecture/abe_shunji/,アーキテクチャ科学研究系,准教授,,博士(工学）（1996年、東京大学）,ネットワークアーキテクチャ,
"新井 紀子",https://www.nii.ac.jp/faculty/society/arai_noriko/,情報社会相関研究系,教授,,博士（理学）,情報利用,
"安東 遼一",https://www.nii.ac.jp/faculty/digital_content/ando_ryoichi/,コンテンツ科学研究系,助教,,博士（芸術工学）,パターンメディア,https://ryichando.graphics/
"アンドレス フレデリック",https://www.nii.ac.jp/faculty/digital_content/andres_frederic/,コンテンツ科学研究系,准教授,,"2000年1月　HDR （ナント大学、フランス教授資格）　1993年9月　Ph.D. （パリ第6大学計算機科学科、ＥＵヨーロッパ連合）",人間・知識メディア,
"五十嵐 歩美",https://www.nii.ac.jp/faculty/informatics/igarashi_ayumi/,情報学プリンシプル研究系,助教,,博士（計算機科学）,数理情報,
"池畑 諭",https://www.nii.ac.jp/faculty/digital_content/ikehata_satoshi/,コンテンツ科学研究系,助教,,博士（情報理工学）、東京大学,パターンメディア,https://satoshi-ikehata.github.io/
"石川 冬樹",https://www.nii.ac.jp/faculty/architecture/ishikawa_fuyuki/,アーキテクチャ科学研究系,准教授,,,ソフトウェア工学,http://research.nii.ac.jp/~f-ishikawa/
"石川 裕",https://www.nii.ac.jp/faculty/architecture/ishikawa_yutaka/,アーキテクチャ科学研究系,教授,,博士（情報理工学）,基盤ソフトウェア,
"市瀬 龍太郎",https://www.nii.ac.jp/faculty/informatics/ichise_ryutaro/,情報学プリンシプル研究系,准教授,,2000年　博士（工学）　東京工業大学,知能情報,http://ri-www.nii.ac.jp/index_j.html
"稲邑 哲也",https://www.nii.ac.jp/faculty/informatics/inamura_tetsunari/,情報学プリンシプル研究系,准教授,,2000年、博士（工学）、東京大学,知能情報,http://www.iir.nii.ac.jp/lab/
"井上 克巳",https://www.nii.ac.jp/faculty/informatics/inoue_katsumi/,情報学プリンシプル研究系,教授,,1993年，博士（工学）,知能情報,http://research.nii.ac.jp/il/index_jp.html
"植木 浩一郎",https://www.nii.ac.jp/faculty/society/ueki_kouichirou/,情報社会相関研究系,助教,,理学修士,情報利用,
"宇野 毅明",https://www.nii.ac.jp/faculty/informatics/uno_takeaki/,情報学プリンシプル研究系,教授,主幹,博士(理学),数理情報,
"漆谷 重雄",https://www.nii.ac.jp/faculty/architecture/urushidani_shigeo/,アーキテクチャ科学研究系,教授,副所長,博士（工学）（東京大学）,情報通信ネットワーク,
"越前 功",https://www.nii.ac.jp/faculty/society/echizen_isao/,情報社会相関研究系,教授,主幹,博士（工学）,情報利用,http://research.nii.ac.jp/~iechizen/official/
"大山 敬三",https://www.nii.ac.jp/faculty/digital_content/oyama_keizo/,コンテンツ科学研究系,教授,副所長,1985年，工学博士（東京大学）,テキスト・言語メディア,http://research.nii.ac.jp/~oyama/index_ja.html
"岡田 仁志",https://www.nii.ac.jp/faculty/society/okada_hitoshi/,情報社会相関研究系,准教授,,博士（国際公共政策）,情報制度,
"片山 紀生",https://www.nii.ac.jp/faculty/digital_content/katayama_norio/,コンテンツ科学研究系,准教授,,"1995年 博士(工学) (東京大学)",コンテンツ基盤,
"加藤 弘之",https://www.nii.ac.jp/faculty/architecture/kato_hiroyuki/,アーキテクチャ科学研究系,助教,,"1999年，博士(工学) 奈良先端科学技術大学院大学",基盤ソフトウェア,
"金澤 輝一",https://www.nii.ac.jp/faculty/digital_content/kanazawa_teruhito/,コンテンツ科学研究系,准教授,,"2002年 博士（工学）（東京大学）",テキスト・言語メディア,
"金子 めぐみ",https://www.nii.ac.jp/faculty/architecture/kaneko_megumi/,アーキテクチャ科学研究系,准教授,,HDR（フランス教授資格）・博士（工学）,情報通信ネットワーク,http://research.nii.ac.jp/~megkaneko/
"河原林 健一",https://www.nii.ac.jp/faculty/informatics/kawarabayashi_kenichi/,情報学プリンシプル研究系,教授,,,数理情報,https://bigdata.nii.ac.jp/kibans/
"神門 典子",https://www.nii.ac.jp/faculty/society/kando_noriko/,情報社会相関研究系,教授,,博士(図書館・情報学),情報利用,
"岸田 昌子",https://www.nii.ac.jp/faculty/informatics/kishida_masako/,情報学プリンシプル研究系,准教授,,Ph.D.,数理情報,
